formula,material_id,element,stoichiometric_index,displacement_threshold_energy_eV,ed_interpretation,calculation_method,aggregation_mode,site_count,structure_source,ed_mode,status,notes
AlInSb2,JVASP-109795,Sb,2.0,14.278,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AsCl5,JVASP-5770,As,1.0,1.219,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
AsCl5,JVASP-5770,Cl,5.0,0.668,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaAlSi,JVASP-17183,Ba,1.0,7.95,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaAlSi,JVASP-17183,Al,1.0,4.891,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaAlSi,JVASP-17183,Si,1.0,2.351,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaH2O4,JVASP-54745,Ba,1.0,49.308,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaH2O4,JVASP-54745,H,2.0,1.286,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
BaH2O4,JVASP-54745,O,4.0,0.599,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Bi4Te7Pb,JVASP-12475,Bi,4.0,8.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Bi4Te7Pb,JVASP-12475,Te,7.0,5.5,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Bi4Te7Pb,JVASP-12475,Pb,1.0,8.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3PbO,JVASP-17656,Ca,3.0,8.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3PbO,JVASP-17656,Pb,1.0,8.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3PbO,JVASP-17656,O,1.0,28.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3SnH2,JVASP-37879,Ca,3.0,6.884,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3SnH2,JVASP-37879,Sn,1.0,20.699,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ca3SnH2,JVASP-37879,H,2.0,1.517,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CaSnS3,JVASP-40190,Ca,1.0,5.795,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CaSnS3,JVASP-40190,Sn,1.0,12.0,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CaSnS3,JVASP-40190,S,3.0,7.6,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cd2GaAgSe4,JVASP-108799,Cd,2.0,14.814,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cd2GaAgSe4,JVASP-108799,Ga,1.0,2.202,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cd2GaAgSe4,JVASP-108799,Ag,1.0,5.875,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cd2GaAgSe4,JVASP-108799,Se,4.0,25.628,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CoC4N6,JVASP-59765,Co,1.0,22.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CoC4N6,JVASP-59765,C,4.0,37.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CoC4N6,JVASP-59765,N,6.0,22.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CrO3,JVASP-44469,Cr,1.0,11.925,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CrO3,JVASP-44469,O,3.0,2.921,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cu2SnSe3,JVASP-109764,Cu,2.0,1.448,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cu2SnSe3,JVASP-109764,Sn,1.0,2.997,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Cu2SnSe3,JVASP-109764,Se,3.0,0.62,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CuAs2Pb6Cl7O6,JVASP-53178,Cu,1.0,1.032,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CuAs2Pb6Cl7O6,JVASP-53178,As,2.0,7.905,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CuAs2Pb6Cl7O6,JVASP-53178,Pb,6.0,9.406,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CuAs2Pb6Cl7O6,JVASP-53178,Cl,7.0,8.419,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
CuAs2Pb6Cl7O6,JVASP-53178,O,6.0,4.314,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ga3BN4,JVASP-35152,Ga,3.0,10.808,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ga3BN4,JVASP-35152,B,1.0,8.338,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Ga3BN4,JVASP-35152,N,4.0,8.691,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgP2Se6,JVASP-27498,Ga,1.0,5.442,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgP2Se6,JVASP-27498,Ag,1.0,1.858,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgP2Se6,JVASP-27498,P,2.0,2.469,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgP2Se6,JVASP-27498,Se,6.0,2.533,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgTeSe,JVASP-109402,Ga,1.0,2.622,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgTeSe,JVASP-109402,Ag,1.0,1.166,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgTeSe,JVASP-109402,Te,1.0,3.638,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
GaAgTeSe,JVASP-109402,Se,1.0,2.338,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HfS3,JVASP-8218,Hf,1.0,30.0,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HfS3,JVASP-8218,S,3.0,4.039,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Hg3Cl2O2,JVASP-12474,Hg,3.0,17.776,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Hg3Cl2O2,JVASP-12474,Cl,2.0,12.456,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Hg3Cl2O2,JVASP-12474,O,2.0,2.177,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HgSO4,JVASP-9390,Hg,1.0,27.053,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HgSO4,JVASP-9390,S,1.0,3.01,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HgSO4,JVASP-9390,O,4.0,2.315,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HoSO,JVASP-46072,Ho,1.0,9.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HoSO,JVASP-46072,S,1.0,7.6,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
HoSO,JVASP-46072,O,1.0,28.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InAgS2,JVASP-12383,In,1.0,39.49,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InAgS2,JVASP-12383,Ag,1.0,2.877,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InAgS2,JVASP-12383,S,2.0,9.262,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InN,JVASP-17841,In,1.0,60.643,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InN,JVASP-17841,N,1.0,52.307,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InS,JVASP-51076,In,1.0,11.529,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
InS,JVASP-51076,S,1.0,3.526,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
KNO3,JVASP-53146,K,1.0,3.45,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
KNO3,JVASP-53146,N,1.0,3.834,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
KNO3,JVASP-53146,O,3.0,3.342,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
KP,JVASP-10123,K,1.0,12.274,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
KP,JVASP-10123,P,1.0,12.243,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Li3VB2O6,JVASP-40731,Li,3.0,12.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Li3VB2O6,JVASP-40731,V,1.0,28.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Li3VB2O6,JVASP-40731,B,2.0,22.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Li3VB2O6,JVASP-40731,O,6.0,28.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Mg2Mo3O8,JVASP-19255,Mg,2.0,10.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Mg2Mo3O8,JVASP-19255,Mo,3.0,33.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
Mg2Mo3O8,JVASP-19255,O,8.0,28.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9884,Mg,1.0,6.26,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9884,Cu,2.0,3.435,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9884,O,4.0,3.802,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9908,Mg,1.0,15.298,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9908,Cu,2.0,8.614,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MgCu2O4,JVASP-9908,O,4.0,4.661,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MoH2O4,JVASP-54713,Mo,1.0,2.272,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MoH2O4,JVASP-54713,H,2.0,1.679,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MoH2O4,JVASP-54713,O,4.0,6.718,screening_proxy_not_dynamic_threshold_displacement_energy,dft_displacement_barrier_proxy,min,1,jarvis_relaxed_input+idealized,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MoWSe2S2,JVASP-28698,Mo,1.0,33.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
MoWSe2S2,JVASP-28698,W,1.0,55.0,fallback_screening_value_not_dynamic_threshold_displacement_energy,elemental_fallback_after_dft_failure,min,1,material_level_fallback_no_qe_result,static,ok,Use as SR-NIEL Ed input only after benchmark validation; current value is a DFT displacement-barrier proxy.
